2022-12-05 15:31:49,434 INFO    MainThread:12932 [wandb_setup.py:_flush():68] Configure stats pid to 12932
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_setup.py:_flush():68] Loading settings from /Users/bonati/.config/wandb/settings
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_setup.py:_flush():68] Loading settings from /Users/bonati/Desktop/CHM/reward_networks/reward-network-iii-algorithm/dqn/wandb/settings
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'dqn/dqn_agent.py', 'program': '/Users/bonati/Desktop/CHM/reward_networks/reward-network-iii-algorithm/dqn/dqn_agent.py'}
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_init.py:_log_setup():476] Logging user logs to /Users/bonati/Desktop/CHM/reward_networks/reward-network-iii-algorithm/dqn/wandb/run-20221205_153149-aen03xwm/logs/debug.log
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/bonati/Desktop/CHM/reward_networks/reward-network-iii-algorithm/dqn/wandb/run-20221205_153149-aen03xwm/logs/debug-internal.log
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_init.py:init():516] calling init triggers
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_init.py:init():569] starting backend
2022-12-05 15:31:49,435 INFO    MainThread:12932 [wandb_init.py:init():573] setting up manager
2022-12-05 15:31:49,446 INFO    MainThread:12932 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-12-05 15:31:49,449 INFO    MainThread:12932 [wandb_init.py:init():580] backend started and connected
2022-12-05 15:31:49,452 INFO    MainThread:12932 [wandb_init.py:init():658] updated telemetry
2022-12-05 15:31:49,485 INFO    MainThread:12932 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-12-05 15:31:50,169 INFO    MainThread:12932 [wandb_run.py:_on_init():2000] communicating current version
2022-12-05 15:31:50,291 INFO    MainThread:12932 [wandb_run.py:_on_init():2004] got version response 
2022-12-05 15:31:50,291 INFO    MainThread:12932 [wandb_init.py:init():728] starting run threads in backend
2022-12-05 15:31:50,393 INFO    MainThread:12932 [wandb_run.py:_console_start():1980] atexit reg
2022-12-05 15:31:50,394 INFO    MainThread:12932 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-12-05 15:31:50,394 INFO    MainThread:12932 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-12-05 15:31:50,394 INFO    MainThread:12932 [wandb_run.py:_redirect():1925] Redirects installed.
2022-12-05 15:31:50,395 INFO    MainThread:12932 [wandb_init.py:init():765] run started, returning control to user process
2022-12-05 15:31:50,396 INFO    MainThread:12932 [wandb_run.py:_finish():1746] finishing run chm-hci/reward-network-iii-algorithm-dqn/aen03xwm
2022-12-05 15:31:50,396 INFO    MainThread:12932 [wandb_run.py:_atexit_cleanup():1949] got exitcode: 1
2022-12-05 15:31:50,396 INFO    MainThread:12932 [wandb_run.py:_restore():1932] restore
2022-12-05 15:31:50,396 INFO    MainThread:12932 [wandb_run.py:_restore():1938] restore done
2022-12-05 15:31:54,170 INFO    MainThread:12932 [wandb_run.py:_footer_history_summary_info():3377] rendering history
2022-12-05 15:31:54,170 INFO    MainThread:12932 [wandb_run.py:_footer_history_summary_info():3409] rendering summary
2022-12-05 15:31:54,174 INFO    MainThread:12932 [wandb_run.py:_footer_sync_info():3333] logging synced files
