,networkId,expectedAIReward,expectedMyopicReward
0,776e5e4a5367b404b3e216815dc7313f,80,-40
1,cadc126b77d0356a72ebef8a38044449,-200,-200
2,05bdcb293bad5efb60988ef99fe2304c,40,20
3,911f145049d9d9a92094b428c345ec6f,240,-20
4,4d2115f07c36e9b0c74b7fbc5c163845,0,0
5,5b4e7fe574d91652066c7aaa824ecf2c,140,140
6,7a6ca0fa793e2cf597fcfbe681576d6f,120,60
7,17fe66eb31c4038aac1b00230fe37f1e,280,80
8,4922102831b08a5e72925fc61c0c7ee8,120,-100
9,a8df06901c1f444f9640db1dc9d2ebe6,220,20
10,1ea54196a7f3b948ca8de0bb6949e18b,260,20
11,151f6e3284fa225dc21b06aa740b953d,140,100
12,7341dd86885206d9101e81cce416f1fd,160,160
13,a5c2d34d649e972a6b6ae697e377b9b3,40,80
14,fe22fe7c94b386070bb090b64ce0d83c,260,140
15,da160e4f474b14c1102abf1cc2205720,-20,80
16,75dd80463c19b87e7ad1abe0e8225653,260,20
17,31347d09e9ffe3c665f515215d3d23a8,0,120
18,4f48fba70749d6ca08de8ef022383cd2,-20,-80
19,9f6b9234ea304dd5c040c904e0288bf5,260,80
20,273adcee44951b1e7c62fa562ae8fcd8,40,-20
21,d68ca4a62ac29d0cbb40cf8de4c1f6aa,60,60
22,2a02c4a0791262854b1dad5c0dc60629,160,160
23,debe7f7f848d21b4c534eede189735d7,-120,20
24,9ef9ff688adfa08c7a5ad5f19007052e,240,40
25,585ef262bccfbb08869d20b055145df5,240,160
26,45158fcf43a2f183679e413a7121b798,-40,80
27,39e438a90eebe203c7fd5ee091719ae3,-80,80
28,de455db121a05302c6c59166b83265c8,160,-40
29,674f49aee49a5345cfb4b19657427ad4,-100,-20
30,82a6ed0aed372d89a1bebdf649c76c02,20,-40
31,5144a2a80fbba733cdb79631d5d1cb0a,160,120
32,0384d887a39d05834dcae58a99a4800f,-200,-120
33,6ba707ecfd7766fb464cf738dbc643e3,-200,-120
34,7d61fd051476c4eb3b88edfa905c3f4e,-100,-20
35,29d1ad681b6eab3d0491dc2db9fe4af6,0,160
36,918bd79a8df623fb1a13e353abcbd759,20,40
37,88007e5a619114517b2127267351d28d,80,80
38,1287de3819448f8c10172b5db0158e9e,80,80
39,06e3b401a5258f042b79ef75baec69cd,640,0
40,1b34c60c6e518dd1b141cee9842d0867,80,-80
41,43f76d0be583ebdbb65ee69407942174,0,40
42,5b77acfde85513ad097a0e26bcd59f53,-40,40
43,2b26cb47ebf6400e2333029fe76dca81,-40,80
44,bafb3c3d67e6945ec643f5c316b5e0ca,260,0
45,781f1477a782b43b2f4e51a67733518c,80,80
46,24ec2ac5d3b0c2fa875d229aa003fdb4,-80,-200
47,421f28212a1bbf1144061f97a155b6ee,-120,-120
48,edd5a7491f2c9e7efe0d7df8d356416c,280,40
49,2fae50a25dc7f66104ebb883631400a6,240,120
50,d1de697942a00f4264cf27e262178789,240,0
51,f8d8aa6ef1a5533a7dd9a6258de91068,-80,0
52,08c2a13c96a2acd0ea840915af484bc3,-40,-80
53,bd16054bdb5502fa412e2ab485ec8e01,240,0
54,bc1b38f2e440b2fcab80f133f1bab6b2,20,-40
55,b09e98451f1b6ece0225ce20eb8c69ce,-20,0
56,259892ef5572091ac22df961cddce183,-20,-40
57,6aa06461efc99170feb037bd6d589fcc,-120,-20
58,7c96b5878d61ac8b49f76da8cb9f76fb,60,140
59,031d33e6eb86fc8383a4204e58a30fbf,160,-40
60,c3c13bd37d06d9ee4aa961e16c18a8b4,400,160
61,90734478c9ad51ad7dbaeb846ae57276,-20,20
62,107ca1f0be56522bf369cea6866db98c,-80,20
63,6c32dd651c533ab28d88dc37a52e2414,80,40
64,461138d7290e455358cedf9824b7894e,60,140
65,fb0b8fb8aa92d20a5811b3fb83e944b0,-20,80
66,7a5aa467214c276763ee72505457aaa5,100,80
67,b7a51e1a4c5093171af61357590a3236,0,160
68,af5564ee77b0f267d8a18767ce606ecb,60,-160
69,f05eb4aae140a68c926e8f490da4b5f0,140,80
70,b64eb18a010208335ae94bfc3e48d32b,260,80
71,efe95c9601a8266ee0d6c58c10a73098,20,160
72,0132f9fab382ce1b8d9422336c92bdd9,120,80
73,40cd333be46cb1885f707260a4cc4738,360,0
74,102cc725815dc512852b3593db1e08b4,-60,60
75,278b29aa7c60d314e17d56693813661d,60,20
76,e895da88f63c66436bff7d338290f180,-20,140
77,f979a7f8ef72fae3c3798cf7becbb85a,-80,-20
78,6b1ba22c111200b9b8bfa7112c58970a,140,120
79,feb32f2dd4cd4f74439a3a4a066a76a8,100,20
80,40ba9e85f12c4868122f4ed65f8b27f4,0,0
81,425c65aae0aba459b8909d163481ef41,-180,-300
82,73bda99f4c80cf39cb9221f822145351,-40,60
83,0fbf274d489e86748eec633c4826828a,260,100
84,1522be991b9b789e77ed5f7f1a60a670,-20,40
85,a67f48f3ca8450e86d4fced11cbad37d,-60,120
86,8d8ae2d48f230a2b258e9e33d828df87,-100,40
87,aa0a98bf8d99f7f76469715bebeea66b,0,60
88,cba65cfb10a0b241cb57cb7393ae97d7,60,0
89,aa80e4a24afbe1886832c56665c3e038,160,0
90,8e3afcc3cce5468ac73774b8d1db959c,100,-80
91,1f1f681eeda4f8aeac7f9ae679a6a705,100,100
92,6d09ed9ec73b4112281d7ebacd90b05d,-120,-40
93,cf2fbf05335a09c4d1fe2d31d9bf6be9,-100,-40
94,daae02163b81dff92305ae70e77b7323,100,40
95,b97dab917992e9c4300b02dbc13b8975,-140,20
96,d0dbaedb066cfe526c3c97604067fc9f,-60,40
97,72970f7e140b1100f44ab5ab5e35535b,380,-80
98,f4c3e225c864e58d4df89ad7fdf519f1,80,80
99,720f665605b68369694c210bac7aa799,20,160
100,54bc6f9750476ca45833d76734468122,80,-20
101,9af8fea37ec79c9205443299bf89d34f,-220,0
102,76a1881b13ae2dce119ff45e62fe26cb,0,-80
103,3d3a0cc3027a961e0a5f576bb07cd093,0,120
104,9bb2cdaa518c20ec33b70dc42b82abff,20,-80
105,f5310d4a0ead073f78b0bf53d0833158,280,0
106,70c7c4b756a6f5fb8cff6951d6c6553e,40,-60
