,sessionId,trialID,networkId,sourceLevel,targetLevel,reward,step,matchesMyopic,matchesAI
0,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,0,1,True,True
1,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,200,2,False,False
2,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,0,3,False,False
3,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,0,4,False,False
4,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,0,5,False,False
5,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,1,-50,6,False,False
6,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,1,2,-50,7,False,False
7,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,2,0,400,8,False,False
8,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,200,1,True,True
9,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,200,2,False,False
10,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,1,-50,3,False,False
11,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,1,2,-50,4,False,False
12,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,2,0,400,5,False,False
13,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,100,6,False,False
14,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,200,7,False,False
15,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,200,8,False,False
16,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,100,1,True,True
17,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,0,2,True,True
18,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,200,3,False,False
19,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,1,-50,4,False,False
20,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,1,0,0,5,False,False
21,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,100,6,False,False
22,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,100,7,False,False
23,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,1,-50,8,False,False
24,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,1,-50,1,True,True
25,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,1,0,0,2,True,True
26,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,0,3,False,False
27,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,100,4,False,False
28,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,0,5,False,False
29,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,100,6,False,False
30,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,0,7,False,False
31,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,100,8,False,False
32,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,200,1,True,True
33,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,0,2,False,False
34,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,0,3,False,False
35,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,200,4,False,False
36,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,0,5,False,False
37,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,1,-50,6,False,False
38,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,1,2,-50,7,False,False
39,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,2,0,400,8,False,False
40,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,1,True,True
41,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,2,False,False
42,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,3,False,False
43,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,1,-50,4,False,False
44,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,1,0,0,5,False,False
45,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,6,False,False
46,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,7,False,False
47,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,100,1,True,True
48,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,200,2,False,False
49,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,100,3,False,False
50,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,200,4,False,False
51,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,1,-50,5,False,False
52,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,1,0,0,6,False,False
53,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,200,7,False,False
54,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,100,8,False,False
55,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,0,1,True,True
56,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,200,2,False,False
57,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,1,-50,3,False,False
58,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,1,0,200,4,False,False
59,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,200,5,False,False
60,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,0,6,False,False
61,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,0,1,True,True
62,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,200,2,False,False
63,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,0,3,False,False
64,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,200,4,False,False
65,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,0,5,False,False
66,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,200,6,False,False
67,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,0,7,False,False
68,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,200,8,False,False
69,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,0,1,-50,1,True,True
70,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,1,2,-50,2,True,True
71,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,2,3,-50,3,True,True
72,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,3,4,200,4,True,True
73,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,4,4,400,5,True,True
74,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,4,4,400,6,True,True
75,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,4,4,400,7,False,False
76,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,4,4,400,8,False,False
77,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,0,1,-50,1,True,True
78,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,1,2,-50,2,True,True
79,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,2,0,400,3,True,True
80,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,0,1,-50,4,False,False
81,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,1,2,-50,5,False,False
82,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,2,0,400,6,False,False
83,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,0,0,100,7,False,False
84,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,0,1,-50,8,False,False
85,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,1,-50,1,True,True
86,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,1,0,0,2,False,False
87,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,0,0,3,False,False
88,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,1,-50,4,False,False
89,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,1,0,0,5,False,False
90,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,0,200,6,False,False
91,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,0,100,7,False,False
92,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,0,200,8,False,False
93,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,0,1,-50,1,True,True
94,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,1,2,-50,2,True,True
95,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,2,3,-50,3,True,True
96,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,3,4,200,4,True,True
97,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,4,4,200,5,True,True
98,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,4,4,200,6,False,False
99,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,4,4,200,7,True,True
100,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,4,4,200,8,False,False
101,63e60e5c86a07638e1044c25,17,ee03606912fff2d5496ca438ddf0e182,0,0,0,1,True,True
102,63e60e5c86a07638e1044c25,17,ee03606912fff2d5496ca438ddf0e182,0,0,200,2,False,False
103,63e60e5c86a07638e1044c25,17,ee03606912fff2d5496ca438ddf0e182,0,0,0,3,False,False
104,63e60e5c86a07638e1044c25,17,ee03606912fff2d5496ca438ddf0e182,0,0,200,4,False,False
105,63e60e5c86a07638e1044c25,17,ee03606912fff2d5496ca438ddf0e182,0,0,0,5,False,False
106,63e60e5c86a07638e1044c25,17,ee03606912fff2d5496ca438ddf0e182,0,0,200,6,False,False
107,63e60e5c86a07638e1044c25,17,ee03606912fff2d5496ca438ddf0e182,0,0,0,7,False,False
108,63e60e5c86a07638e1044c25,17,ee03606912fff2d5496ca438ddf0e182,0,0,200,8,False,False
109,63e60e5c86a07638e1044c25,18,8304d462fddd29207e552f03678b2aae,0,0,100,1,True,True
110,63e60e5c86a07638e1044c25,18,8304d462fddd29207e552f03678b2aae,0,0,0,2,False,False
111,63e60e5c86a07638e1044c25,18,8304d462fddd29207e552f03678b2aae,0,1,-50,3,False,False
112,63e60e5c86a07638e1044c25,18,8304d462fddd29207e552f03678b2aae,1,2,-50,4,False,False
113,63e60e5c86a07638e1044c25,18,8304d462fddd29207e552f03678b2aae,2,2,0,5,False,False
114,63e60e5c86a07638e1044c25,18,8304d462fddd29207e552f03678b2aae,2,3,-50,6,False,False
115,63e60e5c86a07638e1044c25,18,8304d462fddd29207e552f03678b2aae,3,4,200,7,False,False
116,63e60e5c86a07638e1044c25,18,8304d462fddd29207e552f03678b2aae,4,3,400,8,True,True
117,63e60e5c86a07638e1044c25,19,939167d6b46f4a3c65963d90fb98d01f,0,0,200,1,True,True
118,63e60e5c86a07638e1044c25,19,939167d6b46f4a3c65963d90fb98d01f,0,0,200,2,False,False
119,63e60e5c86a07638e1044c25,19,939167d6b46f4a3c65963d90fb98d01f,0,0,200,3,False,False
120,63e60e5c86a07638e1044c25,19,939167d6b46f4a3c65963d90fb98d01f,0,0,0,4,False,False
121,63e60e5c86a07638e1044c25,19,939167d6b46f4a3c65963d90fb98d01f,0,0,100,5,False,False
122,63e60e5c86a07638e1044c25,19,939167d6b46f4a3c65963d90fb98d01f,0,0,0,6,False,False
123,63e60e5c86a07638e1044c25,19,939167d6b46f4a3c65963d90fb98d01f,0,0,200,7,False,False
124,63e60e5c86a07638e1044c25,19,939167d6b46f4a3c65963d90fb98d01f,0,0,200,8,False,False
125,63e60e5c86a07638e1044c25,20,eace0abfea72cefe35a1f1a164bd1038,0,0,0,1,True,True
126,63e60e5c86a07638e1044c25,20,eace0abfea72cefe35a1f1a164bd1038,0,0,200,2,False,False
127,63e60e5c86a07638e1044c25,20,eace0abfea72cefe35a1f1a164bd1038,0,0,0,3,False,False
128,63e60e5c86a07638e1044c25,20,eace0abfea72cefe35a1f1a164bd1038,0,1,-50,4,False,False
129,63e60e5c86a07638e1044c25,20,eace0abfea72cefe35a1f1a164bd1038,1,2,-50,5,False,False
130,63e60e5c86a07638e1044c25,20,eace0abfea72cefe35a1f1a164bd1038,2,0,400,6,False,False
131,63e60e5c86a07638e1044c25,20,eace0abfea72cefe35a1f1a164bd1038,0,0,0,7,False,False
132,63e60e5c86a07638e1044c25,20,eace0abfea72cefe35a1f1a164bd1038,0,1,-50,8,False,False
133,63e60e5c86a07638e1044c25,21,641ea5755d77783463424e412b7571f0,0,0,200,1,True,True
134,63e60e5c86a07638e1044c25,21,641ea5755d77783463424e412b7571f0,0,0,100,2,False,False
135,63e60e5c86a07638e1044c25,21,641ea5755d77783463424e412b7571f0,0,0,200,3,False,False
136,63e60e5c86a07638e1044c25,21,641ea5755d77783463424e412b7571f0,0,0,100,4,False,False
137,63e60e5c86a07638e1044c25,21,641ea5755d77783463424e412b7571f0,0,0,200,5,False,False
138,63e60e5c86a07638e1044c25,21,641ea5755d77783463424e412b7571f0,0,0,100,6,False,False
139,63e60e5c86a07638e1044c25,21,641ea5755d77783463424e412b7571f0,0,0,200,7,False,False
140,63e60e5c86a07638e1044c25,21,641ea5755d77783463424e412b7571f0,0,0,100,8,False,False
141,63e60e5c86a07638e1044c25,23,41f8576fc22e2bae6ecb3b3ee1e0ac0f,0,0,0,1,True,True
142,63e60e5c86a07638e1044c25,23,41f8576fc22e2bae6ecb3b3ee1e0ac0f,0,1,-50,2,False,False
143,63e60e5c86a07638e1044c25,23,41f8576fc22e2bae6ecb3b3ee1e0ac0f,1,2,-50,3,False,False
144,63e60e5c86a07638e1044c25,23,41f8576fc22e2bae6ecb3b3ee1e0ac0f,2,0,400,4,False,False
145,63e60e5c86a07638e1044c25,23,41f8576fc22e2bae6ecb3b3ee1e0ac0f,0,0,200,5,False,False
146,63e60e5c86a07638e1044c25,23,41f8576fc22e2bae6ecb3b3ee1e0ac0f,0,0,0,6,False,False
147,63e60e5c86a07638e1044c25,23,41f8576fc22e2bae6ecb3b3ee1e0ac0f,0,0,100,7,False,False
148,63e60e5c86a07638e1044c25,23,41f8576fc22e2bae6ecb3b3ee1e0ac0f,0,0,0,8,False,False
149,63e60e5c86a07638e1044c25,24,6989819bbfe069c8a29e5819a49c22dc,0,0,0,1,True,True
150,63e60e5c86a07638e1044c25,24,6989819bbfe069c8a29e5819a49c22dc,0,1,-50,2,False,False
151,63e60e5c86a07638e1044c25,24,6989819bbfe069c8a29e5819a49c22dc,1,0,200,3,False,False
152,63e60e5c86a07638e1044c25,24,6989819bbfe069c8a29e5819a49c22dc,0,0,200,4,False,False
