,networkId,expectedAIReward,expectedMyopicReward
0,91cdbb8e2f9597586478fa053981cb26,1250,1250
1,ff0f703dfe1d882c5ad406968b364400,1250,1250
2,4f8eae6cdbd172ad96143170a2cd5210,1450,1450
3,4f475517800453162f0b33b385659d21,1650,1650
4,e3108a52b2badae980afc815b7277eb8,1450,1450
5,02de52cdaf959ef1c9e409f26e8bb329,1450,1450
6,1299563582f09584a113bc83104b5bfd,750,750
7,d4c907d4d59fa15e5e3ca1e74ee13301,1250,1250
8,dcef44d0e77c0aae66640bb8482eb28d,1250,1250
9,586baa4054ef8a6575dff92ad4b1ed55,1250,1250
10,1896dd654d92bf9fca08f70a5ff507d5,1450,1450
11,61e7ed12d7313403e8ffe980588714df,1050,1050
12,135f3a35b43c8ca8792fff9901bcde13,1250,1250
13,03d27900534c8d5cf45d608815e61639,1250,1250
14,b67d3090c1cf284e66d9921a9b918e24,1650,1650
15,eed2f27f6258d3970134da1184f6dc75,1250,1250
16,ce746f62eef72470cc6dad67dda6d9a8,1050,1050
17,369fed85631588b9f60bd7709c79d4c0,1250,1250
18,7844225719e3ebf6a2ddd97c7674256c,1650,1650
19,eeee5b5d4d5301925b9afcb10608ea4d,1250,1250
20,8ba5f580d653e399e58495c3c610b08b,1250,1250
21,e3ee9a8ef28016b26bde85565f26c7ba,1050,1050
22,803e7f9f8331cb08a52d77716dd2a8ed,950,950
23,4ce925fa7dd2463afc0aa3b7c835bcf5,1650,1650
24,87fc246c5931b262cfa037b1d4e18520,1250,1250
25,0e1c4b92fb339df248afd6e05504e3a1,1050,1050
26,aa96d7b666916c9f5ec37868609a786c,1450,1450
27,5df173a54c1bdece6b9ff98eba4d3ee3,1250,1250
28,8304d462fddd29207e552f03678b2aae,1150,1150
29,d5f2c8d388501884fb9f1edac4291037,1450,1450
30,09afc0c652b00166d289191018ec545e,1650,1650
31,19bb5e37de270d89fa60c7735de2da21,1250,1250
32,34a2f1de4bca44ab6ddf16390c3d400b,1050,1050
33,bbd3fb74933edbeb8aee7fb3ead010ec,1250,1250
34,26bce4936fb5f4d2d29e3d49680bb4c4,850,850
35,91c3e6ebce2d3020eece08ca1e1192ac,1050,1050
36,5b8f6637b3c9d18b65ca278f210647b5,1650,1650
37,96ff1a5831027d31543c7d8c187b9822,850,850
38,e8734b5b66bca9a8369582876f59eafe,1250,1250
39,ab3d3b15f697d6947bf443eb737dfaca,1250,1250
40,75101ec1a72e04e6b1d6902cd2cc4c21,1250,1250
41,0ed04b2285d5d102e406868de4a768fa,1050,1050
42,855d16b42fecaa5af6c1d8e7eea65450,1450,1450
43,f5cb0048d34f1488ae5dfced4f8d5b3b,1650,1650
44,2c7d4114979f3a7221d401e750055280,1050,1050
45,ed12667490f18f44f666febe56f74b2c,1450,1450
46,641ea5755d77783463424e412b7571f0,1450,1450
47,530482c6eb42d2520436d5201f0ce505,750,750
48,8495c7f568c413d28d0f138185d9a12c,1050,1050
49,037d136f121454bea9906d12fd304981,1650,1650
50,bfcc69d01d5b86958dcebec85f7b2e5e,1250,1250
51,08727b82ffbc2c30df6a57dded6f2df5,1450,1450
