,sessionId,trialID,networkId,sourceLevel,targetLevel,reward,step,isMissing,matchesMyopic,matchesAI
0,6422d978aff8868105633828,0,ee03606912fff2d5496ca438ddf0e182,0,1,-50,1,False,False,True
1,6422d978aff8868105633828,0,ee03606912fff2d5496ca438ddf0e182,1,2,-50,2,False,False,True
2,6422d978aff8868105633828,0,ee03606912fff2d5496ca438ddf0e182,2,3,-50,3,False,False,True
3,6422d978aff8868105633828,0,ee03606912fff2d5496ca438ddf0e182,3,4,200,4,False,False,True
4,6422d978aff8868105633828,0,ee03606912fff2d5496ca438ddf0e182,4,3,400,5,False,False,True
5,6422d978aff8868105633828,0,ee03606912fff2d5496ca438ddf0e182,3,4,200,6,False,False,True
6,6422d978aff8868105633828,0,ee03606912fff2d5496ca438ddf0e182,4,3,200,7,False,False,True
7,6422d978aff8868105633828,0,ee03606912fff2d5496ca438ddf0e182,3,4,200,8,False,False,True
8,6422d978aff8868105633828,1,b06e63e23be6e795171cc39de5f68b04,0,1,-50,1,False,False,True
9,6422d978aff8868105633828,1,b06e63e23be6e795171cc39de5f68b04,1,2,-50,2,False,False,True
10,6422d978aff8868105633828,1,b06e63e23be6e795171cc39de5f68b04,2,3,-50,3,False,False,True
11,6422d978aff8868105633828,1,b06e63e23be6e795171cc39de5f68b04,3,4,200,4,False,False,True
12,6422d978aff8868105633828,1,b06e63e23be6e795171cc39de5f68b04,4,4,200,5,False,False,True
13,6422d978aff8868105633828,1,b06e63e23be6e795171cc39de5f68b04,4,3,400,6,False,False,True
14,6422d978aff8868105633828,1,b06e63e23be6e795171cc39de5f68b04,3,4,200,7,False,False,True
15,6422d978aff8868105633828,1,b06e63e23be6e795171cc39de5f68b04,4,3,200,8,False,False,True
16,6422d978aff8868105633828,2,cb226a27079683c5a81e7c73450fd1d7,0,1,-50,1,False,False,True
17,6422d978aff8868105633828,2,cb226a27079683c5a81e7c73450fd1d7,1,2,-50,2,False,False,True
18,6422d978aff8868105633828,2,cb226a27079683c5a81e7c73450fd1d7,2,3,-50,3,False,False,True
19,6422d978aff8868105633828,2,cb226a27079683c5a81e7c73450fd1d7,3,4,200,4,False,False,True
20,6422d978aff8868105633828,2,cb226a27079683c5a81e7c73450fd1d7,4,3,200,5,False,False,True
21,6422d978aff8868105633828,2,cb226a27079683c5a81e7c73450fd1d7,3,4,200,6,False,False,True
22,6422d978aff8868105633828,2,cb226a27079683c5a81e7c73450fd1d7,4,3,200,7,False,False,True
23,6422d978aff8868105633828,2,cb226a27079683c5a81e7c73450fd1d7,3,4,200,8,False,False,True
24,6422d978aff8868105633828,3,bbd3fb74933edbeb8aee7fb3ead010ec,0,1,-50,1,False,False,True
25,6422d978aff8868105633828,3,bbd3fb74933edbeb8aee7fb3ead010ec,1,2,-50,2,False,False,True
26,6422d978aff8868105633828,3,bbd3fb74933edbeb8aee7fb3ead010ec,2,3,-50,3,False,False,True
27,6422d978aff8868105633828,3,bbd3fb74933edbeb8aee7fb3ead010ec,3,4,200,4,False,False,True
28,6422d978aff8868105633828,3,bbd3fb74933edbeb8aee7fb3ead010ec,4,3,400,5,False,False,True
29,6422d978aff8868105633828,3,bbd3fb74933edbeb8aee7fb3ead010ec,3,4,200,6,False,False,True
30,6422d978aff8868105633828,3,bbd3fb74933edbeb8aee7fb3ead010ec,4,3,400,7,False,False,True
