,networkId,expectedAIReward,expectedMyopicReward
0,5ecb41db0bee1cd18e15ee53135ebb68,850,800
1,024a2fa697f61362dd70f557c915a562,1050,800
2,6d0ffbd4eb723034e88987aff40bb323,1250,400
3,ef5de1c39533c2ba557db1756b3105ca,1250,800
4,4d467829f913aedfe7abdaae2f092575,1250,300
5,f3c1846c56db90a3cfa76ade7c3770e8,1250,600
6,5ed60c220ba65abfe32a2a1eb1cb2fd3,1450,300
7,179c4965d95e8edcaf140d1d9e163517,1250,200
8,bdd9913267c882db2178f83f9ed1813e,1150,300
9,b8762cae6cf047a26f05b6f7c71c5991,1250,400
10,403c2d814990c5aebcbbb782c958593c,1450,400
11,4ebf3d788f9f7436b18f180e6b7cc4c6,1650,300
12,8f79fde611e2a6cf0edcaa6b38e3c568,1250,0
13,16e4244fc480d81dcfc1310bb27ef9ff,1650,300
14,6e290f2b662f701b0455cadadef496b3,1150,400
15,9c9f5cc4c1186f0cc378271d907aa25d,1450,400
16,1a5d2ab3b75e9cbe5d9076985b07901b,1250,0
17,8cedc35ffb61727fd186c6a77fd3f2ed,1250,400
18,06f8dea970e8457cc596ad1a48ffb6ac,1250,500
19,6b8ac210b6f13c2145ac7f06802b4679,1150,100
20,3393262377b1bd90ad32bc698f674e17,1050,800
21,70426afea61f991c2b23d6ccb9a951d1,1250,400
22,b1224693efa0e2cb9f78489610cf6b37,1250,800
23,a72dee07ca268c08550f79b7c47b6848,1150,200
24,bbbc0b962a0e02b9cfbc038155ac3bad,1450,400
25,5f44c6cca2cfc49b52d5cfd5a51c0d90,750,700
26,21c95fb645a5bcb88c2c2cc34e3ab96c,1250,400
27,522a485405080e68162c1fa43ed09365,1450,800
28,c6b4da4124630ed20f71272eba0e86bb,1650,700
29,8eb1be24a742203e03d35e1c02e062d9,850,400
30,fb60bb522a3fbbc1096b3a777565eb62,1650,700
31,1ec268fe7de605220a0e626059e68876,850,600
32,1c2854883b57c72aad33a1aebb5f85a6,1050,400
33,92136c3c14130c847c0f82c813710297,1050,400
34,abc5653cbbc1c4acd15e8b4b59e63092,1450,300
