,sessionId,task_explanation,difficulty_rating,time_limit_sufficient,arrows_color,additional_comments
0,647731a58664fd383a5bfc19,2,5,1,3,
1,647731a58664fd383a5bfc1a,5,4,3,2,
2,647731a58664fd383a5bfc1b,2,3,4,3,
3,647731a58664fd383a5bfc1c,4,3,2,1,
4,647731a58664fd383a5bfc1d,1,3,1,3,
5,647731a58664fd383a5bfc1e,2,3,4,3,
6,647731a58664fd383a5bfc1f,3,5,1,4,
7,647731a58664fd383a5bfc20,1,5,2,4,
8,647731a58664fd383a5bfc22,2,2,1,5,"like i said, the arrows were too bright and i couldn't see where they were pointing"
9,647731a58664fd383a5bfc23,5,3,2,1,
10,64773d6f8664fd383a5bfc32,5,4,3,2,
