,sessionId,task_explanation,difficulty_rating,time_limit_sufficient,arrows_color,additional_comments
0,649d986ad98de2a0b3c501b8,3,2,4,3,
1,649d986ad98de2a0b3c501b9,5,4,2,4,"Some of the lighter colors are too light, perhaps you should bold the arrows' ends to indicate where it leads to."
2,649d986ad98de2a0b3c501ba,2,4,2,3,
3,649d986ad98de2a0b3c501bb,1,4,2,3,"It wasn't well explained at the start, ie. which circle you would have to start from"
4,649d986ad98de2a0b3c501bc,1,1,1,1,
5,649d986ad98de2a0b3c501be,4,4,2,1,no
6,649d986ad98de2a0b3c501bf,5,3,2,3,
7,649d986ad98de2a0b3c501c0,4,2,3,3,
8,649d986ad98de2a0b3c501c1,2,4,2,3,
9,649d986ad98de2a0b3c501c2,3,3,2,2,
