Unnamed: 0,sessionId,strategy,task_explanation,difficulty_rating,time_limit_sufficient,arrows_color,additional_comments,expName
0,63e623d186a07638e1044c48,Try to find the two points that would maximize my overall score (failed sometimes) ,5,3,3,2,,rn-iii-pilot-2B
1,63e623d186a07638e1044c49,follow green,3,3,3,3,,rn-iii-pilot-2B
2,63e623d186a07638e1044c4a,tried to go the green lines where possible,2,4,2,3,,rn-iii-pilot-2B
3,63e623d186a07638e1044c4b,I chose the strategy provided to me by previous players whereI had to chose 3 red arrows that would lead to the green ones,4,4,2,1,I felt like the first 6 experiments were a bit easier than the ones after where I had to demonstrate to future players,rn-iii-pilot-2B
4,63e623d186a07638e1044c4c,Just tried to focus hard and look through the different options before making any moves.,5,3,3,1,,rn-iii-pilot-2B
5,63e623d186a07638e1044c4d,I tried to get to some green arrows through any means I could. The time stressed me out very much and caused me to panic and not think enough. ,1,5,1,1,The time was tricky for me. ,rn-iii-pilot-2B
6,63e623d186a07638e1044c4e,"I tried to escape from the places where I lost more points even if I had to walk in a circle to do so.
",3,5,1,1,,rn-iii-pilot-2B
7,63e623d186a07638e1044c4f,from the second player i learned ,5,4,4,1,,rn-iii-pilot-2B
8,63e623d186a07638e1044c50,"None, just try to see the path to more points",4,3,3,2,"None, thank you.",rn-iii-pilot-2B
9,63e623d186a07638e1044c51,Followed the advice from the other players,5,4,3,1,,rn-iii-pilot-2B
0,63e60e5c86a07638e1044c25,none,5,2,2,2,,rn-iii-pilot-2A
1,63e60e5c86a07638e1044c26,none.,4,3,3,1,,rn-iii-pilot-2A
2,63e60e5c86a07638e1044c27,I explained it in the previous box,3,4,2,1,I don't understand where I can see previous strategies used by previous people. It was said that we could learn from previous cases and it was asked to us to write on how we did the task so in the future others can learn. But what was the point if we do not have access to it?,rn-iii-pilot-2A
3,63e60e5c86a07638e1044c28,no,4,3,2,4,,rn-iii-pilot-2A
4,63e60e5c86a07638e1044c29,any,2,2,1,3,"no, thanks",rn-iii-pilot-2A
5,63e60e5c86a07638e1044c2a,Just tried to hit the greens and avoid the reds.,5,4,2,1,Fun  survey,rn-iii-pilot-2A
6,63e60e5c86a07638e1044c2b,"Do not look for arrows of 400 points, because you can lose more",5,3,1,3,,rn-iii-pilot-2A
7,63e60e5c86a07638e1044c2c,I tried to to green loops,4,3,4,2,,rn-iii-pilot-2A
8,63e60e5c86a07638e1044c2d,"See first my overall options, which moves I am allowed to do. After try to click greener lines in order to obtain more points.",3,3,2,3,More practice time or at least let people can go back to see the instructions,rn-iii-pilot-2A
9,63e60e5c86a07638e1044c2e,Try to reach nodes where there is higher gains.,4,3,3,4,-,rn-iii-pilot-2A
