,expName,sessionId,trialId,trialType,duration
0,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,4,individual,33
1,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,5,individual,32
2,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,6,written_strategy,19
3,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,10,try_yourself,44
4,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,12,try_yourself,32
5,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,13,try_yourself,48
6,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,15,try_yourself,20
7,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,16,try_yourself,32
8,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,18,try_yourself,20
9,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,19,try_yourself,49
10,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,21,try_yourself,17
11,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,23,individual,26
12,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,24,individual,39
13,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,25,individual,31
14,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,26,individual,25
15,rn-iii-pilot-5b,6477325f8664fd383a5bfc25,27,written_strategy,16
16,rn-iii-pilot-5b,647732a48664fd383a5bfc26,4,individual,36
17,rn-iii-pilot-5b,647732a48664fd383a5bfc26,5,individual,29
18,rn-iii-pilot-5b,647732a48664fd383a5bfc26,6,written_strategy,59
19,rn-iii-pilot-5b,647732a48664fd383a5bfc26,10,try_yourself,61
20,rn-iii-pilot-5b,647732a48664fd383a5bfc26,12,try_yourself,43
21,rn-iii-pilot-5b,647732a48664fd383a5bfc26,13,try_yourself,42
22,rn-iii-pilot-5b,647732a48664fd383a5bfc26,15,try_yourself,24
23,rn-iii-pilot-5b,647732a48664fd383a5bfc26,16,try_yourself,31
24,rn-iii-pilot-5b,647732a48664fd383a5bfc26,18,try_yourself,14
25,rn-iii-pilot-5b,647732a48664fd383a5bfc26,19,try_yourself,25
26,rn-iii-pilot-5b,647732a48664fd383a5bfc26,21,try_yourself,18
27,rn-iii-pilot-5b,647732a48664fd383a5bfc26,23,individual,15
28,rn-iii-pilot-5b,647732a48664fd383a5bfc26,24,individual,31
29,rn-iii-pilot-5b,647732a48664fd383a5bfc26,25,individual,25
30,rn-iii-pilot-5b,647732a48664fd383a5bfc26,26,individual,33
31,rn-iii-pilot-5b,647732a48664fd383a5bfc26,27,written_strategy,65
32,rn-iii-pilot-5b,647732a68664fd383a5bfc27,4,individual,39
33,rn-iii-pilot-5b,647732a68664fd383a5bfc27,5,individual,39
34,rn-iii-pilot-5b,647732a68664fd383a5bfc27,6,written_strategy,22
35,rn-iii-pilot-5b,647732a68664fd383a5bfc27,10,try_yourself,29
36,rn-iii-pilot-5b,647732a68664fd383a5bfc27,12,try_yourself,21
37,rn-iii-pilot-5b,647732a68664fd383a5bfc27,13,try_yourself,39
38,rn-iii-pilot-5b,647732a68664fd383a5bfc27,15,try_yourself,36
39,rn-iii-pilot-5b,647732a68664fd383a5bfc27,16,try_yourself,39
40,rn-iii-pilot-5b,647732a68664fd383a5bfc27,18,try_yourself,37
41,rn-iii-pilot-5b,647732a68664fd383a5bfc27,19,try_yourself,39
42,rn-iii-pilot-5b,647732a68664fd383a5bfc27,21,try_yourself,21
43,rn-iii-pilot-5b,647732a68664fd383a5bfc27,23,individual,26
44,rn-iii-pilot-5b,647732a68664fd383a5bfc27,24,individual,33
45,rn-iii-pilot-5b,647732a68664fd383a5bfc27,25,individual,36
46,rn-iii-pilot-5b,647732a68664fd383a5bfc27,26,individual,34
47,rn-iii-pilot-5b,647732a68664fd383a5bfc27,27,written_strategy,5
48,rn-iii-pilot-5b,647732a78664fd383a5bfc28,4,individual,36
49,rn-iii-pilot-5b,647732a78664fd383a5bfc28,5,individual,26
50,rn-iii-pilot-5b,647732a78664fd383a5bfc28,6,written_strategy,17
51,rn-iii-pilot-5b,647732a78664fd383a5bfc28,10,try_yourself,37
52,rn-iii-pilot-5b,647732a78664fd383a5bfc28,12,try_yourself,39
53,rn-iii-pilot-5b,647732a78664fd383a5bfc28,13,try_yourself,37
54,rn-iii-pilot-5b,647732a78664fd383a5bfc28,15,try_yourself,35
55,rn-iii-pilot-5b,647732a78664fd383a5bfc28,16,try_yourself,45
56,rn-iii-pilot-5b,647732a78664fd383a5bfc28,18,try_yourself,20
57,rn-iii-pilot-5b,647732a78664fd383a5bfc28,19,try_yourself,43
58,rn-iii-pilot-5b,647732a78664fd383a5bfc28,21,try_yourself,27
59,rn-iii-pilot-5b,647732a78664fd383a5bfc28,23,individual,30
60,rn-iii-pilot-5b,647732a78664fd383a5bfc28,24,individual,21
61,rn-iii-pilot-5b,647732a78664fd383a5bfc28,25,individual,30
62,rn-iii-pilot-5b,647732a78664fd383a5bfc28,26,individual,33
63,rn-iii-pilot-5b,647732a78664fd383a5bfc28,27,written_strategy,13
64,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,4,individual,39
65,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,5,individual,27
66,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,6,written_strategy,1
67,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,10,try_yourself,45
68,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,12,try_yourself,47
69,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,13,try_yourself,26
70,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,15,try_yourself,16
71,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,16,try_yourself,38
72,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,18,try_yourself,20
73,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,19,try_yourself,41
74,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,21,try_yourself,22
75,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,23,individual,24
76,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,24,individual,22
77,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,25,individual,15
78,rn-iii-pilot-5b,647732aa8664fd383a5bfc29,26,individual,24
