move_idx,source_num,target_num,reward,level,myopic,optimal,large_loss_taken,session_id,trail_id,score,average_score,session_idx,trail_idx
0,1,3,0,0,False,False,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
1,3,5,0,0,False,False,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
2,5,1,200,0,True,True,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
3,1,5,100,0,True,False,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
4,5,1,200,0,True,True,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
5,1,5,100,0,True,False,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
6,5,1,200,0,True,True,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
7,1,5,100,0,True,False,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
8,5,1,200,0,True,True,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
9,1,5,100,0,True,False,False,655c7aba7cb69f5cd300575d,4,1300,1125,0,0
0,4,6,200,0,True,False,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
1,6,2,200,0,True,True,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
2,2,4,200,0,True,False,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
3,4,6,200,0,True,False,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
4,6,2,200,0,True,True,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
5,2,4,200,0,True,False,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
6,4,6,200,0,True,False,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
7,6,2,200,0,True,True,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
8,2,4,200,0,True,False,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
9,4,6,200,0,True,False,False,655c7aba7cb69f5cd300575d,5,2100,1125,0,1
0,4,3,-50,1,False,True,True,655c7aba7cb69f5cd300575d,8,500,1125,0,2
1,3,9,200,0,True,False,False,655c7aba7cb69f5cd300575d,8,500,1125,0,2
2,9,2,0,0,False,False,False,655c7aba7cb69f5cd300575d,8,500,1125,0,2
3,2,11,0,0,False,False,False,655c7aba7cb69f5cd300575d,8,500,1125,0,2
4,11,6,-50,1,False,True,True,655c7aba7cb69f5cd300575d,8,500,1125,0,2
5,6,11,200,0,True,False,False,655c7aba7cb69f5cd300575d,8,500,1125,0,2
6,11,2,0,0,False,False,False,655c7aba7cb69f5cd300575d,8,500,1125,0,2
7,2,4,200,0,True,True,False,655c7aba7cb69f5cd300575d,8,500,1125,0,2
8,4,6,-50,1,False,True,True,655c7aba7cb69f5cd300575d,8,500,1125,0,2
0,0,5,200,0,True,False,False,655c7aba7cb69f5cd300575d,9,550,1125,0,3
1,5,11,200,0,True,False,False,655c7aba7cb69f5cd300575d,9,550,1125,0,3
2,11,7,0,0,False,False,False,655c7aba7cb69f5cd300575d,9,550,1125,0,3
3,7,5,0,0,False,False,False,655c7aba7cb69f5cd300575d,9,550,1125,0,3
4,5,0,0,0,False,False,False,655c7aba7cb69f5cd300575d,9,550,1125,0,3
5,0,6,-50,1,False,True,True,655c7aba7cb69f5cd300575d,9,550,1125,0,3
6,6,8,200,0,True,False,False,655c7aba7cb69f5cd300575d,9,550,1125,0,3
7,8,5,0,0,False,False,False,655c7aba7cb69f5cd300575d,9,550,1125,0,3
0,11,1,0,0,False,False,False,655c7aba7cb69f5cd300575d,10,650,1125,0,4
1,1,3,0,0,False,False,False,655c7aba7cb69f5cd300575d,10,650,1125,0,4
2,3,7,-50,1,False,True,True,655c7aba7cb69f5cd300575d,10,650,1125,0,4
3,7,10,200,0,True,False,False,655c7aba7cb69f5cd300575d,10,650,1125,0,4
4,10,5,-50,1,False,True,True,655c7aba7cb69f5cd300575d,10,650,1125,0,4
5,5,8,-50,2,False,True,True,655c7aba7cb69f5cd300575d,10,650,1125,0,4
6,8,11,400,0,True,False,False,655c7aba7cb69f5cd300575d,10,650,1125,0,4
7,11,5,-50,1,False,True,True,655c7aba7cb69f5cd300575d,10,650,1125,0,4
