move_idx,source_num,target_num,reward,level,myopic,optimal,large_loss_taken,session_id,trail_id,score,average_score,session_idx,trail_idx
0,1,5,100,0,True,False,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
1,5,1,200,0,True,True,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
2,1,5,100,0,True,False,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
3,5,1,200,0,True,True,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
4,1,5,100,0,True,False,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
5,5,1,200,0,True,True,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
6,1,5,100,0,True,False,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
7,5,1,200,0,True,True,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
8,1,5,100,0,True,False,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
9,5,1,200,0,True,True,False,656628b3668ebdf5919e979a,0,1600,1850,0,0
0,4,6,200,0,True,False,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
1,6,2,200,0,True,True,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
2,2,4,200,0,True,False,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
3,4,6,200,0,True,False,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
4,6,2,200,0,True,True,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
5,2,4,200,0,True,False,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
6,4,6,200,0,True,False,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
7,6,2,200,0,True,True,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
8,2,4,200,0,True,False,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
9,4,6,200,0,True,False,False,656628b3668ebdf5919e979a,1,2100,1850,0,1
0,4,0,200,0,True,False,False,656628b3668ebdf5919e979a,2,2100,1850,0,2
1,0,9,200,0,True,False,False,656628b3668ebdf5919e979a,2,2100,1850,0,2
2,9,0,200,0,True,False,False,656628b3668ebdf5919e979a,2,2100,1850,0,2
