session_id,session_name,replication_idx,condition,generation,within_generation_idx,started_at,time_spend,expired,replaced,ai_player,simulated_subject,advisor,player_score
65c1039b6bfe110d744f1886,Rep 0 - Gen 0 - None - 0 - AI,0,,0,0,,PT0S,False,False,True,True,,1625
65c1039b6bfe110d744f1887,Rep 0 - Gen 0 - w_ai - 1 - AI,0,w_ai,0,1,,PT0S,False,False,True,False,,2650
65c1039b6bfe110d744f1888,Rep 0 - Gen 1 - w_ai - 0 - Human,0,w_ai,1,0,2024-02-05T15:58:29.916000,PT466S,False,False,False,False,65c1039b6bfe110d744f1887,1662
65c1039b6bfe110d744f1889,Rep 0 - Gen 1 - w_ai - 1 - Human,0,w_ai,1,1,2024-02-05T15:57:50.930000,PT624S,False,False,False,False,65c1039b6bfe110d744f1887,2650
65c1039b6bfe110d744f188a,Rep 1 - Gen 0 - None - 0 - AI,1,,0,0,,PT0S,False,False,True,True,,1300
65c1039c6bfe110d744f188b,Rep 1 - Gen 0 - w_ai - 1 - AI,1,w_ai,0,1,,PT0S,False,False,True,False,,2650
65c1039c6bfe110d744f188d,Rep 1 - Gen 1 - w_ai - 1 - Human,1,w_ai,1,1,2024-02-05T16:00:27.764000,PT615S,False,False,False,False,65c1039c6bfe110d744f188b,2650
65c1039c6bfe110d744f188e,Rep 2 - Gen 0 - None - 0 - AI,2,,0,0,,PT0S,False,False,True,True,,1400
65c1039c6bfe110d744f188f,Rep 2 - Gen 0 - w_ai - 1 - AI,2,w_ai,0,1,,PT0S,False,False,True,False,,2650
65c1039c6bfe110d744f1890,Rep 2 - Gen 1 - w_ai - 0 - Human,2,w_ai,1,0,2024-02-05T16:00:46.813000,PT940S,False,False,False,False,65c1039c6bfe110d744f188f,787
65c1039c6bfe110d744f1891,Rep 2 - Gen 1 - w_ai - 1 - Human,2,w_ai,1,1,2024-02-05T16:00:48.167000,PT1023S,False,False,False,False,65c1039c6bfe110d744f188f,2650
65c1039c6bfe110d744f1892,Rep 3 - Gen 0 - None - 0 - AI,3,,0,0,,PT0S,False,False,True,True,,1400
65c1039c6bfe110d744f1893,Rep 3 - Gen 0 - w_ai - 1 - AI,3,w_ai,0,1,,PT0S,False,False,True,False,,2487
65c1039c6bfe110d744f1894,Rep 3 - Gen 1 - w_ai - 0 - Human,3,w_ai,1,0,2024-02-05T16:01:08.652000,PT850S,False,False,False,False,65c1039c6bfe110d744f1892,1175
65c1039c6bfe110d744f1895,Rep 3 - Gen 1 - w_ai - 1 - Human,3,w_ai,1,1,2024-02-05T16:01:00.502000,PT664S,False,False,False,False,65c1039c6bfe110d744f1893,1162
65c1039d6bfe110d744f1896,Rep 4 - Gen 0 - None - 0 - AI,4,,0,0,,PT0S,False,False,True,True,,1600
65c1039d6bfe110d744f1897,Rep 4 - Gen 0 - w_ai - 1 - AI,4,w_ai,0,1,,PT0S,False,False,True,False,,2650
65c1039d6bfe110d744f1898,Rep 4 - Gen 1 - w_ai - 0 - Human,4,w_ai,1,0,2024-02-05T16:01:13.853000,PT880S,False,False,False,False,65c1039d6bfe110d744f1897,1450
65c1039d6bfe110d744f1899,Rep 4 - Gen 1 - w_ai - 1 - Human,4,w_ai,1,1,2024-02-05T16:01:52.168000,PT662S,False,False,False,False,65c1039d6bfe110d744f1897,2650
65c1039d6bfe110d744f189a,Rep 5 - Gen 0 - None - 0 - AI,5,,0,0,,PT0S,False,False,True,True,,1350
65c1039d6bfe110d744f189b,Rep 5 - Gen 0 - w_ai - 1 - AI,5,w_ai,0,1,,PT0S,False,False,True,False,,2650
65c1039d6bfe110d744f189c,Rep 5 - Gen 1 - w_ai - 0 - Human,5,w_ai,1,0,2024-02-05T16:02:01.483000,PT800S,False,False,False,False,65c1039d6bfe110d744f189b,1625
65c1039d6bfe110d744f189d,Rep 5 - Gen 1 - w_ai - 1 - Human,5,w_ai,1,1,2024-02-05T16:01:55.241000,PT987S,False,False,False,False,65c1039d6bfe110d744f189b,2650
65c1039d6bfe110d744f189e,Rep 6 - Gen 0 - None - 0 - AI,6,,0,0,,PT0S,False,False,True,True,,1675
65c1039d6bfe110d744f189f,Rep 6 - Gen 0 - w_ai - 1 - AI,6,w_ai,0,1,,PT0S,False,False,True,False,,2650
65c1039e6bfe110d744f18a0,Rep 6 - Gen 1 - w_ai - 0 - Human,6,w_ai,1,0,2024-02-05T16:02:11.983000,PT919S,False,False,False,False,65c1039d6bfe110d744f189f,1300
65c1039e6bfe110d744f18a1,Rep 6 - Gen 1 - w_ai - 1 - Human,6,w_ai,1,1,2024-02-05T16:02:14.162000,PT668S,False,False,False,False,65c1039d6bfe110d744f189f,2650
65c1039e6bfe110d744f18a2,Rep 7 - Gen 0 - None - 0 - AI,7,,0,0,,PT0S,False,False,True,True,,1600
65c1039e6bfe110d744f18a3,Rep 7 - Gen 0 - w_ai - 1 - AI,7,w_ai,0,1,,PT0S,False,False,True,False,,2650
65c1039e6bfe110d744f18a4,Rep 7 - Gen 1 - w_ai - 0 - Human,7,w_ai,1,0,2024-02-05T16:02:17.084000,PT875S,False,False,False,False,65c1039e6bfe110d744f18a3,2287
65c1039e6bfe110d744f18a5,Rep 7 - Gen 1 - w_ai - 1 - Human,7,w_ai,1,1,2024-02-05T16:03:07.297000,PT881S,False,False,False,False,65c1039e6bfe110d744f18a3,2650
65c1039e6bfe110d744f18a6,Rep 8 - Gen 0 - None - 0 - AI,8,,0,0,,PT0S,False,False,True,True,,1700
65c1039e6bfe110d744f18a7,Rep 8 - Gen 0 - w_ai - 1 - AI,8,w_ai,0,1,,PT0S,False,False,True,False,,2650
65c1039e6bfe110d744f18a8,Rep 8 - Gen 1 - w_ai - 0 - Human,8,w_ai,1,0,2024-02-05T16:03:52.340000,PT1338S,False,False,False,False,65c1039e6bfe110d744f18a7,2300
65c1039e6bfe110d744f18a9,Rep 8 - Gen 1 - w_ai - 1 - Human,8,w_ai,1,1,2024-02-05T16:12:43.327000,PT767S,False,False,False,False,65c1039e6bfe110d744f18a7,2650
65c1039f6bfe110d744f18aa,Rep 9 - Gen 0 - None - 0 - AI,9,,0,0,,PT0S,False,False,True,True,,1425
65c1039f6bfe110d744f18ab,Rep 9 - Gen 0 - w_ai - 1 - AI,9,w_ai,0,1,,PT0S,False,False,True,False,,2650
65c1039f6bfe110d744f18ac,Rep 9 - Gen 1 - w_ai - 0 - Human,9,w_ai,1,0,2024-02-05T16:14:26.091000,PT967S,False,False,False,False,65c1039f6bfe110d744f18aa,950
65c1039f6bfe110d744f18ae,Rep 10 - Gen 0 - None - 0 - AI,10,,0,0,,PT0S,False,False,True,True,,1775
