session_id,trial_id,written_strategy_idx,text
65ba9808fa589ac7c2fb001e,6,0,Following green arrows
65ba9808fa589ac7c2fb001e,12,1,Following the green arrows
65ba9808fa589ac7c2fb001f,6,0,Longer lines were more successful 
65ba9808fa589ac7c2fb001f,12,1,Green lines were more points 
65ba9808fa589ac7c2fb0020,6,0,Look at the green lines and try and plan a route using only the green lines as much as possible.
65ba9808fa589ac7c2fb0020,12,1,Try to follow the green lines and look at planning route back to area where the possibility of more green lines exist. 
65ba9808fa589ac7c2fb0021,6,0,Follow the darker green lines wherever possible and avoid the red ones.
65ba9808fa589ac7c2fb0021,12,1,Avoid the pink ones wherever possible.
65ba9808fa589ac7c2fb0022,6,0,i wasnt really able to observe anything. apart from picking the option that was more towards the green end of the spectrum to get more points
65ba9808fa589ac7c2fb0022,12,1,that you may have to lose some points in order to beat the network
65ba9808fa589ac7c2fb0023,6,0,Positive moves trying to avoid dark red circles.
65ba9808fa589ac7c2fb0023,12,1,moving to the darkest green first the lighter green
65ba9809fa589ac7c2fb0024,6,0,Follow the green arrows.
65ba9809fa589ac7c2fb0024,12,1,Follow the green arrows.
65ba9809fa589ac7c2fb0025,6,0,green was more points lilac was neutral and purple deducted points
65ba9809fa589ac7c2fb0025,12,1,"the darker the green, more points, lilac didnt gain any and purple deducted points
"
65ba9809fa589ac7c2fb0026,6,0,always aiming for the green nodes or if none available hopefully a pink one that does not decrease
65ba9809fa589ac7c2fb0026,22,2,Usually copying the stragey of the previous player will work but it cana be difficult to remember 
65ba9809fa589ac7c2fb0027,6,0,Not to back track on yourself. 
65ba9809fa589ac7c2fb0027,22,2,Repeating yourself over letters with gains. 
65ba9809fa589ac7c2fb0028,6,0,just looking for green arrows
65ba9809fa589ac7c2fb0028,22,2,following which ever green line is darkest
65ba9809fa589ac7c2fb0029,6,0,Go through as many nodes as possible to find the paths and then try to find a loop that lead to positive gains
65ba9809fa589ac7c2fb0029,22,2,Finding loops that gave positive gains
65ba9809fa589ac7c2fb002a,6,0,"Follow green arrows over the pink ones, stick to a repeat of back and forth"
65ba9809fa589ac7c2fb002a,22,2,Stick to green and a loop of back and forth between nodes
65ba9809fa589ac7c2fb002b,6,0,"I did wonder if going for opposite sides notwithstanding would work, as opposed to just going for the highest payment each time.  It's unclear to me what would be more successful a strategy."
65ba9809fa589ac7c2fb002b,22,2,Kind of think I need to find 2 points in the network which have green high paying lines between them then repeat.  Not to focus on getting to all points.
65ba9809fa589ac7c2fb002c,6,0,First check which path give more points or lesser penalty points. Otherwise just pick any of the path.
65ba9809fa589ac7c2fb002c,22,2,Its the same strategy. Pick the one that give points and leave the one that deduct points albeit I wont be able to connect all the network
65ba9809fa589ac7c2fb002d,6,0,"Sometimes there was a loop, which I could see would earn me points overall.  It might not have been the best decision, but it's less risky and guarantees points."
65ba9809fa589ac7c2fb002d,22,2,"Again, I think identifying higher point loops."
65ba980bfa589ac7c2fb002e,6,0,Trying to get to different circles even if it reduces points slightly.
65ba980bfa589ac7c2fb002e,12,1,Going back and forth between circles for simplicity to gain as many points as possible.
65ba980bfa589ac7c2fb002f,6,0,follow the lines that bring most points
65ba980bfa589ac7c2fb002f,12,1,memorize colours and follow that
65ba980bfa589ac7c2fb0030,6,0,I tried to move via positive or neutral pathways
65ba980bfa589ac7c2fb0030,12,1,Avoiding negative pathways and repeating moves
65ba980bfa589ac7c2fb0031,6,0,"Each node always links to the same nodes, and so returning to the nodes with green arrows is good"
65ba980bfa589ac7c2fb0031,12,1,"Once a profitable route is found, repeat it"
65ba980bfa589ac7c2fb0032,6,0,Avoid the negative points unless there is no other option
65ba980bfa589ac7c2fb0032,12,1,"Backtracking to a previous position to avoid a new position on a minus point is a good option, sometimes you can repeat the same steps in a cycle to avoid any negative points at all"
65ba980bfa589ac7c2fb0033,6,0,Going for the darker green arrows
65ba980bfa589ac7c2fb0033,12,1,Finding a loop of green arrows
65ba980bfa589ac7c2fb0034,6,0,When I go with the green arrow I gain points
65ba980bfa589ac7c2fb0034,12,1,When I follow the green lines I gain more points
