,sessionId,trialID,networkId,sourceLevel,targetLevel,reward,step,isMissing,matchesMyopic,matchesAI
0,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,0,1,False,False,False
1,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,200,2,False,False,False
2,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,0,3,False,False,False
3,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,0,4,False,False,False
4,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,0,0,5,False,False,False
5,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,0,1,-50,6,False,False,False
6,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,1,2,-50,7,False,False,False
7,63e60e5c86a07638e1044c25,4,e3f5160138fcdd6c579c93ea907ec44b,2,0,400,8,False,False,False
8,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,200,1,False,False,False
9,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,200,2,False,False,False
10,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,1,-50,3,False,False,False
11,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,1,2,-50,4,False,False,False
12,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,2,0,400,5,False,False,False
13,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,100,6,False,False,False
14,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,200,7,False,False,False
15,63e60e5c86a07638e1044c25,5,c98a5501941cecf8b1bd229a5cfe905b,0,0,200,8,False,False,False
16,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,100,1,False,True,True
17,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,0,2,False,False,False
18,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,200,3,False,False,False
19,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,1,-50,4,False,False,False
20,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,1,0,0,5,False,False,False
21,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,100,6,False,False,False
22,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,0,100,7,False,False,False
23,63e60e5c86a07638e1044c25,6,c2c84d6b0affb2b95b878cd593c191c5,0,1,-50,8,False,False,False
24,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,1,-50,1,False,True,True
25,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,1,0,0,2,False,False,False
26,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,0,3,False,False,False
27,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,100,4,False,False,False
28,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,0,5,False,False,False
29,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,100,6,False,False,False
30,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,0,7,False,False,False
31,63e60e5c86a07638e1044c25,7,1872618c095665e937814bc00c8b2dbb,0,0,100,8,False,False,False
32,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,200,1,False,False,False
33,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,0,2,False,False,False
34,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,0,3,False,False,False
35,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,200,4,False,False,False
36,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,0,0,5,False,False,False
37,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,0,1,-50,6,False,False,False
38,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,1,2,-50,7,False,False,False
39,63e60e5c86a07638e1044c25,8,55c56434f3d6dd1b0b847b0d88b4c0b7,2,0,400,8,False,False,False
40,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,1,False,False,False
41,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,2,False,False,False
42,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,3,False,False,False
43,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,1,-50,4,False,False,False
44,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,1,0,0,5,False,False,False
45,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,6,False,False,False
46,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,100,7,False,False,False
47,63e60e5c86a07638e1044c25,9,24fbb1a696f71d6e0d1b5108480f9264,0,0,-50,8,True,False,False
48,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,100,1,False,False,False
49,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,200,2,False,False,False
50,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,100,3,False,False,False
51,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,200,4,False,False,False
52,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,1,-50,5,False,False,False
53,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,1,0,0,6,False,False,False
54,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,200,7,False,False,False
55,63e60e5c86a07638e1044c25,10,b06e63e23be6e795171cc39de5f68b04,0,0,100,8,False,False,False
56,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,0,1,False,False,False
57,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,200,2,False,False,False
58,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,1,-50,3,False,False,False
59,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,1,0,200,4,False,False,False
60,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,200,5,False,False,False
61,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,0,6,False,False,False
62,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,-50,7,True,False,False
63,63e60e5c86a07638e1044c25,11,0e1c4b92fb339df248afd6e05504e3a1,0,0,-50,8,True,False,False
64,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,0,1,False,False,False
65,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,200,2,False,False,False
66,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,0,3,False,False,False
67,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,200,4,False,False,False
68,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,0,5,False,False,False
69,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,200,6,False,False,False
70,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,0,7,False,False,False
71,63e60e5c86a07638e1044c25,12,c6a19f25ec6220011c5574a59df0cb02,0,0,200,8,False,False,False
72,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,0,1,-50,1,False,True,True
73,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,1,2,-50,2,False,True,True
74,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,2,3,-50,3,False,True,True
75,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,3,4,200,4,False,True,True
76,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,4,4,400,5,False,True,True
77,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,4,4,400,6,False,False,False
78,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,4,4,400,7,False,False,False
79,63e60e5c86a07638e1044c25,13,154c8cf083fae5e36ad764a6d83618ef,4,4,400,8,False,False,False
80,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,0,1,-50,1,False,True,True
81,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,1,2,-50,2,False,True,True
82,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,2,0,400,3,False,False,False
83,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,0,1,-50,4,False,False,False
84,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,1,2,-50,5,False,False,False
85,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,2,0,400,6,False,False,False
86,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,0,0,100,7,False,False,False
87,63e60e5c86a07638e1044c25,14,586baa4054ef8a6575dff92ad4b1ed55,0,1,-50,8,False,False,False
88,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,1,-50,1,False,False,False
89,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,1,0,0,2,False,False,False
90,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,0,0,3,False,False,False
91,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,1,-50,4,False,False,False
92,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,1,0,0,5,False,False,False
93,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,0,200,6,False,False,False
94,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,0,100,7,False,False,False
95,63e60e5c86a07638e1044c25,15,14c27a6bdd1681de4813a8d1b7960709,0,0,200,8,False,False,False
96,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,0,1,-50,1,False,True,True
97,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,1,2,-50,2,False,True,True
98,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,2,3,-50,3,False,True,True
99,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,3,4,200,4,False,True,True
100,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,4,4,200,5,False,False,False
101,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,4,4,200,6,False,False,False
102,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,4,4,200,7,False,False,False
103,63e60e5c86a07638e1044c25,16,d4c907d4d59fa15e5e3ca1e74ee13301,4,4,200,8,False,False,False
104,63e60e5c86a07638e1044c25,17,ee03606912fff2d5496ca438ddf0e182,0,0,0,1,False,False,False
