,networkId,expectedAIReward,expectedMyopicReward
0,ee03606912fff2d5496ca438ddf0e182,1050,600
1,b06e63e23be6e795171cc39de5f68b04,1050,1200
2,cb226a27079683c5a81e7c73450fd1d7,850,800
3,bbd3fb74933edbeb8aee7fb3ead010ec,1250,800
4,6432e2a0cd8bcd98e8be048855473b47,850,600
5,3706dc98663f54690dbb9ea5c694ba5c,1450,1100
6,d9451cef34c0ebdf2f7a33bce29b3202,850,0
7,8ba5f580d653e399e58495c3c610b08b,1250,450
8,cad515571305d6506c6e50720e2e192a,1250,1000
9,c2d4da6eb07a01eb7dd89ae44c1b7250,1650,600
10,975ea289a849aed45e6c4ac4a9cad8e9,1450,1600
11,ffac4c7b6e9a1d6afaa0d18b45bd17a4,1250,550
12,b6e257b52fe6bba6ca3f7249c3339eac,1250,1400
13,11d7b4994b6e5b3a588d9970e11dba47,1250,700
14,96ff1a5831027d31543c7d8c187b9822,850,1200
15,ff0f703dfe1d882c5ad406968b364400,1250,400
16,51edc36de506ff346ed262c1081554eb,1450,800
17,31d35353bbfefdb5c7596273e9615d25,1250,1000
18,416dfebe38d4ccb52c5210b0485d82da,1650,200
19,14c27a6bdd1681de4813a8d1b7960709,850,850
20,0e383ba5dd103f07ad32c51ccb346e5d,1650,650
21,fe2ed12a1837bfa36872c2e6d233b37e,1150,1200
22,b67d3090c1cf284e66d9921a9b918e24,1650,700
23,8495c7f568c413d28d0f138185d9a12c,1050,1200
24,c657293f36177bce1c57f41c2a44a9f8,850,100
25,1d2a26aa2efce369aa0679e5a50d06a6,1050,800
26,bfcc69d01d5b86958dcebec85f7b2e5e,1250,-150
27,2dc253beab735bac9efdec73bd49cb89,1150,400
28,e3108a52b2badae980afc815b7277eb8,1450,0
29,dfae8f381c69dc91a7c5beea75e45a89,1050,1200
30,f9cce323131f616fe109f01ff90d19a7,1250,1000
31,7e9030d68efca4293d838c4d9e23ea38,1050,800
32,5df173a54c1bdece6b9ff98eba4d3ee3,1250,700
33,77904613420735578615edf801ac29fc,850,1600
34,5fd9c9cf29a7fc38afcdbc9cddb6e981,1250,1000
35,a22ab606e22ff7ce3578d77f19e7279b,1650,-100
36,a41452358603571b2f6b5313b2ce7efc,1050,200
37,23d16fdf4cb9deca91a583a061a98d9a,1350,800
38,5c06d059835a31d0a6f9af62bf68b4f1,1250,1000
39,f7ccd13cfcc31ef0211479cfeaf0d751,1250,1200
40,ccb7e210d700f0b9a3392515278135df,1050,1200
41,26bce4936fb5f4d2d29e3d49680bb4c4,850,1000
42,8dc7e06bc85704fe3dc78eaa92016510,850,800
43,6a493cdf77df9aff45db325d4a580d6d,1450,1100
44,e54ec940dd9088551a481d9d2ac44145,1250,800
45,fe519fbb23b822118174bf02d28fb3f6,1250,600
46,772dadcc013c0b1c9d983020ef5d0b6e,1050,1100
47,a8abfb1f3cd12a69ab0a2f01fddbc0f8,1450,1200
48,4ec1918e493e473e860e1fd2d8ae6e03,1250,400
49,8d797ba460f85ab40492013e6e0107c4,1250,300
50,24650f022ecbde1aa4ed7653742aa7c6,1050,1600
51,b8bce1e57a0a76f96bac5cfcddf9bdc3,1250,1200
52,afab909b9f77314a0a0a0f8405cc5e31,1050,1000
53,6006be3fb9b56d1b365041ce62ebc787,1250,1000
54,bb695c281dbc1168ea82dfd890f78998,850,500
55,1d1afb3aab7941b350518532ddfb51b3,1250,1100
56,b64707e6ae24e23c36b41575ae323889,1450,800
57,f432227957631642b69be34ae45ba86b,1250,1600
58,42f21d9512905fdee902b69795f3de35,1250,600
