,networkId,expectedAIReward,expectedMyopicReward
0,9d7903f67b2fe171f5843d7ad3c9fce6,1450,1300
1,374bc516bdd45055f2bc9c37ed210113,1250,1300
2,1299563582f09584a113bc83104b5bfd,750,400
3,18ae60d3fa2b0e0e486d9c732124077c,850,800
4,5cb65dc7783fdcd893e39ac3e9a0eaad,1050,1100
5,f8fa60dab58e7f8d327e920f750c2364,1450,300
6,fe519fbb23b822118174bf02d28fb3f6,1250,600
7,299327e518205831dddb830809f6732b,850,400
8,6cbef37f1bc3e760dad87ed4fdc147b0,1050,700
9,6a7cdf146718e7cc32ebb4fa73e4062f,1450,400
10,24e9a079fc0c8ec6cbb7b7aa5c4cd9c3,1650,200
11,f5c536ec5cd5617a7098f544fc7cdae0,1250,1200
12,5e2cc0cb5b580f83e6b23a63dc431018,850,50
13,ff0f703dfe1d882c5ad406968b364400,1250,400
14,fef51e97a4aa0fec04910a80d1b6d9a9,1250,400
15,e54ec940dd9088551a481d9d2ac44145,1250,800
16,5debc29265b15de1070aaf71d07462b3,1250,800
17,452dcce8ad3c776dc7b840e595459643,850,800
18,96ff1a5831027d31543c7d8c187b9822,850,1200
19,393f4397e98c6c15b7d38c7bdadf386f,1250,400
20,c2c84d6b0affb2b95b878cd593c191c5,1150,700
21,adf1eaea26af2a6ef308a5e39f8d0e09,1250,400
22,f4e8d404a347502fa6b4b2d9d2670fbc,1050,1400
23,2c7d4114979f3a7221d401e750055280,1050,800
24,4b02f8f7eb26290564ad5bacff818b61,1250,50
25,b7bb92f3f3d58af9427a2e8ec5a5763a,1050,800
26,1896dd654d92bf9fca08f70a5ff507d5,1450,400
27,d21232c17e9c9aad6e2936c51097dd9f,1250,1600
28,cb5d7e8650f27a14d59f573111500b5b,850,900
29,11893ee3003270d344d3d98bc2b51c67,1050,400
30,24650f022ecbde1aa4ed7653742aa7c6,1050,1600
31,e736b267c4e1f66754526ec5c3ca6117,850,0
32,f6984a0c0340d1d855be727dab0e860d,750,800
33,9bea7eb62b55a08ef612a67888b55126,1050,800
34,1d1afb3aab7941b350518532ddfb51b3,1250,1100
35,5e6001546ed70b1a147e50dcf319729b,1450,700
36,c829cbf335c3168577821dfcce4680e6,1250,1200
37,0f8cb15b73cb4855885f567e1b38a565,1250,450
38,1bf55e58883ad12001f3ae3ba2e87010,1250,800
39,6989819bbfe069c8a29e5819a49c22dc,1050,800
40,6c40731a43cb4d173ab20f29d9484f0a,1050,1400
41,c98a5501941cecf8b1bd229a5cfe905b,1250,1600
42,61e7ed12d7313403e8ffe980588714df,1050,0
43,5d94ab3c1e2b41709db1dc7831197ccd,1450,850
44,3e22897be8803d3b89051a071cf51d0e,1250,1100
45,dc8cf713b9c5aed18e6e65c78884ece4,1250,800
46,acea2b58dbf08d8a6157a344f95325a0,1250,1350
