,sessionId,task_explanation,difficulty_rating,time_limit_sufficient,arrows_color,additional_comments
0,642bdb6f5b5b9c825f6d8ac9,4,4,3,1,
1,642bdb6f5b5b9c825f6d8aca,5,4,1,3,
2,642bdb6f5b5b9c825f6d8acb,2,2,2,4,
3,642bdb6f5b5b9c825f6d8acc,5,4,2,4,
4,642bdb6f5b5b9c825f6d8acd,1,3,3,2,
5,642bdb6f5b5b9c825f6d8ace,3,4,2,4,This was a fun experiment. It made my brain go fast.
6,642bdb6f5b5b9c825f6d8acf,4,4,3,3,
7,642bdb6f5b5b9c825f6d8ad0,4,4,2,3,"The lighter colour arrows were hard to see, as it felt like they were too light and blended in with the white background of the page."
8,642bdb6f5b5b9c825f6d8ad1,2,3,1,2,Timers make some people nervous
9,642bdb6f5b5b9c825f6d8ad2,2,4,2,1,
