,sessionId,condition,strategyText,strategyScore
0,647731a58664fd383a5bfc19,AI_lineage,I tried to minimize my moves in the red arrows,TODO
1,647731a58664fd383a5bfc19,AI_lineage,I try to arrive at the connection which grants max points,TODO
2,647731a58664fd383a5bfc1a,AI_lineage,I was trying to aim at the green arrows as much as possible,TODO
3,647731a58664fd383a5bfc1a,AI_lineage,You have to think fast and go backwards. Look for the darker green arrows that link each other and try to get there by going forward and retracing the steps that bring there,TODO
4,647731a58664fd383a5bfc1b,AI_lineage,i think is very bad stategy,TODO
5,647731a58664fd383a5bfc1b,AI_lineage,see the line with the best point and go backwards,TODO
6,647731a58664fd383a5bfc1c,AI_lineage,followed the green arrows,TODO
7,647731a58664fd383a5bfc1c,AI_lineage,get to the darker green fastest,TODO
8,647731a58664fd383a5bfc1d,AI_lineage,I looked for the best connections and looked at the colors of the arrows,TODO
9,647731a58664fd383a5bfc1d,AI_lineage,I watched which letters go to the green arrows and to reach them as quickly as possible,TODO
10,647731a58664fd383a5bfc1e,AI_lineage,I followed lines with more points ,TODO
11,647731a58664fd383a5bfc1e,AI_lineage,Went for the green ones,TODO
12,647731a58664fd383a5bfc1f,AI_lineage,Try to stay in the green,TODO
13,647731a58664fd383a5bfc1f,AI_lineage,Try to find darker green,TODO
14,647731a58664fd383a5bfc20,AI_lineage,I still have not quite grasped it so I initially guess and then use the coloured numbers as reference,TODO
15,647731a58664fd383a5bfc20,AI_lineage,Using the colours as reference,TODO
16,647731a58664fd383a5bfc22,AI_lineage,i tried focusing on paths that would end in a loop with points,TODO
17,647731a58664fd383a5bfc22,AI_lineage,still trying to end in a loop but since the colors are to bright it was hard to see where the arrows are pointing,TODO
18,647731a58664fd383a5bfc23,AI_lineage,trying to reach the ,TODO
19,647731a58664fd383a5bfc23,AI_lineage,trying to get to the ,TODO
20,64773d6f8664fd383a5bfc32,AI_lineage,I was trying to aim at the green arrows as much as possible,TODO
21,64773d6f8664fd383a5bfc32,AI_lineage,You have to think fast and go backwards. Look for the darker green arrows that link each other and try to get there by going forward and retracing the steps that bring there,TODO
