,networkId,expectedAIReward,expectedMyopicReward
0,8272b501756b9176cc3922096ca21170,1050,400
1,6b785cc6170f7d607ae8e6564de88cdf,1250,300
2,4d64b3180ab99a4c4eab3e215315c59f,1250,800
3,bb85ae3b73e7c87ee0af855576111d83,1250,600
4,350ece71aabcdf341cf2c4ea5a2e60c8,1650,200
5,294420856c07b7414bed77b8c921b984,1650,400
6,252cee4ee8915427272c57d552267153,1250,400
7,dea1d0507c37600318cfce7a8094b6d8,1250,500
8,bb3920e78e75c99ad5d9c41148fa467a,1250,800
9,5650c3d08ab87265a4cb10ae816d3ab1,850,0
10,4ca824ffc37c4b7ebe34bb4ac8c3246b,1250,400
11,69827583432b47dbb069ec7e1cf8eb31,1650,500
12,611261340f03d66d76da84b065750732,1150,800
13,4e1aa9a745525b49601d429a6caad0eb,1050,0
14,48fd645e85a69b3dca6aad8da7df7655,1450,0
15,94b0dcc2b13100fc5d93cd0bea272262,1050,0
16,94320716f2b70b0a200ca08b71d28469,1150,500
17,afd310fc988499c7941a379de8c4bf49,850,400
18,0851270386726ec2d3ed3e614b52d90e,1150,400
19,e02b5b3f0090cb2ffe9d81653ac86092,1250,200
20,c56daf69a1d1527a106781cd62fb1a87,1050,800
21,555b667ad58cdd0ddb9285b019fa643c,1450,200
22,d1e5fb46d8174817369456fe7d03d5a2,1050,400
23,6a25003af7cd2da19970eee137dd3007,1250,500
24,d5e057f19037d3b5fec9f093762577ef,1250,600
25,9e1333b2a78b6e225ed49fbbf6f5ba07,1250,300
26,acba892f250fac8cf7c823b55a7221af,1250,200
27,0598baf2b5c18579dd9e105ce05d1c30,1250,500
28,71a7097141dd22ccfd8d7e1bbde9aeec,1450,400
29,e25e8865111abfbf491cca91638c84db,1050,700
30,fee06d455d452d0e690ad057609f25c3,1450,600
31,4e7248dbbf46d83fd1b381f054cb9c9c,1250,500
32,4eede304e151dc6c32f6cab0c086e55f,850,400
33,83561584e90d9418610d10c35f3e48db,1050,800
34,3fdaaa0ec51e3b2ac249febc76c6f3b0,1050,0
35,cfa4c9fbf3bddae733a97ec85cb6adcb,1050,400
36,43f0fb6ef37a07b23bc1b5e5793f22c8,850,800
37,1850f70a270bb2566a1f890f8b9c0d38,1250,400
38,ef2f730cd0029a00674d7d5be8374dc5,1450,700
39,64d55fc573b7879bb29dfed73ff7e725,1250,400
40,ca31cff3722d3615f57c9f42b4054745,1250,400
41,f7b5d086b84dda88b955946de8266d55,1250,700
42,3ac4a2043352f0258606ac5c73e91398,1650,800
43,85118773586fa4b3845188824d8cdc12,1250,200
44,116013c290626a4ba78cd4f66b8e7803,1050,500
45,1451f2c862ee2d4e2b54f6dbe2809ff3,1250,400
46,1bd26f7dd31d1ae257b5415a34670dba,1050,800
47,b9c0d716b1d77328d012c081505d5801,1650,100
48,e0e7b7e430dac65bf473df1840eb02a3,1250,400
49,d406f70d8e149ff92887410177e56041,1250,300
50,bf3838ff07b0538333a2fd392e82be1c,1150,400
51,dcf8c0a56a196ab09598672bfe02e0de,1050,0
52,0dda2a752dfd36e2d74ff6e4bdf37ef7,1250,400
53,ac037dca6aa104c279945647eb23d260,950,800
54,8a763afbcc9752acb6a080f87055fc20,950,400
55,b5d6c1ff808cc692bbed4dfa35f265ed,1650,500
56,c1cf060033b2df1c03ed6389bffd5465,850,0
57,b8cb84260363dacab2c8d2b89018bc9a,1250,400
58,bdcd1500de263a87e1b2e9c0b8d95df7,1250,400
59,650ed380462495defc6feef7b7ac90b0,1250,200
60,2f896c304cd931706dfc8ef90acf7b1d,1250,800
61,a0efd40e835a733ccaf9f2a8665819b5,1250,300
62,3cbdac15507d48760706581af61fec36,1050,500
63,9c6a2a12f576d36f14ec8d7a82b770ec,1250,400
64,6e710fd95f0e151a5af4a072f2d20e37,1250,400
65,20eb0ae4620163f763029633aa66098e,650,0
66,0db4f66db3eebfa7807651890e9486ed,1450,0
67,d75341b10b54cb7e02382588528f44f6,1650,400
68,6f81aed794db649bd0643ea48edd0f4d,1450,700
69,f46b1c025b864d925c8b62d4fe64cccd,950,500
70,f2d59d076ba85ea86874e0fa79995fc0,1250,100
71,9405b1f93b8d437ab624d0e6c3787600,1450,200
72,fcd2321b803a3f50d17d9eb8eb3d8d60,1250,500
73,da6ae447cc913350cf4eeffa6323d389,1250,500
74,dbde9c2d45af00af57a0c5b0bb88f927,1450,500
75,8a6779601f71eba3da3db2ed895799b0,1250,200
76,094fdb6c91f25d834e1f57fc87565162,1650,500
77,f4fc0eed1f99e4ca2f29698f38964616,850,800
78,8cedeb3066e1843dc0ff290cf0bb7737,1450,800
79,0f977ecfc2f51045a114e2c43831dbcb,1250,400
80,7219584757e11eb7c3d44b44dda5a646,1250,800
81,c1540b5277e082764ee823f87742ed39,1450,600
82,4eede304e151dc6c32f6cab0c086e55f,850,400
83,4eede304e151dc6c32f6cab0c086e55f,850,400
84,4eede304e151dc6c32f6cab0c086e55f,850,400
85,83561584e90d9418610d10c35f3e48db,1050,800
86,83561584e90d9418610d10c35f3e48db,1050,800
87,83561584e90d9418610d10c35f3e48db,1050,800
88,3fdaaa0ec51e3b2ac249febc76c6f3b0,1050,0
89,3fdaaa0ec51e3b2ac249febc76c6f3b0,1050,0
90,3fdaaa0ec51e3b2ac249febc76c6f3b0,1050,0
91,cfa4c9fbf3bddae733a97ec85cb6adcb,1050,400
92,cfa4c9fbf3bddae733a97ec85cb6adcb,1050,400
93,cfa4c9fbf3bddae733a97ec85cb6adcb,1050,400
