,expName,sessionId,trialId,trialType,duration
0,rn-iii-pilot-2B,63e6241586a07638e1044c54,8,try_yourself,24
1,rn-iii-pilot-2B,63e6241586a07638e1044c54,11,try_yourself,23
2,rn-iii-pilot-2B,63e6241586a07638e1044c54,15,try_yourself,26
3,rn-iii-pilot-2B,63e6241586a07638e1044c54,18,try_yourself,12
4,rn-iii-pilot-2B,63e6241586a07638e1044c54,20,individual,26
5,rn-iii-pilot-2B,63e6241586a07638e1044c54,21,individual,35
6,rn-iii-pilot-2B,63e6241586a07638e1044c54,22,individual,27
7,rn-iii-pilot-2B,63e6241586a07638e1044c54,23,individual,14
8,rn-iii-pilot-2B,63e6241586a07638e1044c54,24,individual,27
9,rn-iii-pilot-2B,63e6241586a07638e1044c54,25,individual,33
10,rn-iii-pilot-2B,63e6241586a07638e1044c54,27,demonstration,30
11,rn-iii-pilot-2B,63e6241586a07638e1044c54,28,demonstration,20
12,rn-iii-pilot-2B,63e6241586a07638e1044c54,30,written_strategy,24
13,rn-iii-pilot-2B,63e6241586a07638e1044c55,8,try_yourself,22
14,rn-iii-pilot-2B,63e6241586a07638e1044c55,11,try_yourself,21
15,rn-iii-pilot-2B,63e6241586a07638e1044c55,15,try_yourself,19
16,rn-iii-pilot-2B,63e6241586a07638e1044c55,18,try_yourself,36
17,rn-iii-pilot-2B,63e6241586a07638e1044c55,20,individual,22
18,rn-iii-pilot-2B,63e6241586a07638e1044c55,21,individual,19
19,rn-iii-pilot-2B,63e6241586a07638e1044c55,22,individual,15
20,rn-iii-pilot-2B,63e6241586a07638e1044c55,23,individual,32
21,rn-iii-pilot-2B,63e6241586a07638e1044c55,24,individual,22
22,rn-iii-pilot-2B,63e6241586a07638e1044c55,25,individual,15
23,rn-iii-pilot-2B,63e6241586a07638e1044c55,27,demonstration,16
24,rn-iii-pilot-2B,63e6241586a07638e1044c55,28,demonstration,20
25,rn-iii-pilot-2B,63e6241586a07638e1044c55,30,written_strategy,18
26,rn-iii-pilot-2B,63e6241786a07638e1044c56,8,try_yourself,40
27,rn-iii-pilot-2B,63e6241786a07638e1044c56,11,try_yourself,22
28,rn-iii-pilot-2B,63e6241786a07638e1044c56,15,try_yourself,26
29,rn-iii-pilot-2B,63e6241786a07638e1044c56,18,try_yourself,27
30,rn-iii-pilot-2B,63e6241786a07638e1044c56,20,individual,25
31,rn-iii-pilot-2B,63e6241786a07638e1044c56,21,individual,24
32,rn-iii-pilot-2B,63e6241786a07638e1044c56,22,individual,29
33,rn-iii-pilot-2B,63e6241786a07638e1044c56,23,individual,17
34,rn-iii-pilot-2B,63e6241786a07638e1044c56,24,individual,23
35,rn-iii-pilot-2B,63e6241786a07638e1044c56,25,individual,16
36,rn-iii-pilot-2B,63e6241786a07638e1044c56,27,demonstration,18
37,rn-iii-pilot-2B,63e6241786a07638e1044c56,28,demonstration,39
38,rn-iii-pilot-2B,63e6241786a07638e1044c56,30,written_strategy,36
39,rn-iii-pilot-2B,63e6241a86a07638e1044c57,8,try_yourself,14
40,rn-iii-pilot-2B,63e6241a86a07638e1044c57,11,try_yourself,13
41,rn-iii-pilot-2B,63e6241a86a07638e1044c57,15,try_yourself,25
42,rn-iii-pilot-2B,63e6241a86a07638e1044c57,18,try_yourself,12
43,rn-iii-pilot-2B,63e6241a86a07638e1044c57,20,individual,35
44,rn-iii-pilot-2B,63e6241a86a07638e1044c57,21,individual,37
45,rn-iii-pilot-2B,63e6241a86a07638e1044c57,22,individual,27
46,rn-iii-pilot-2B,63e6241a86a07638e1044c57,23,individual,39
47,rn-iii-pilot-2B,63e6241a86a07638e1044c57,24,individual,16
48,rn-iii-pilot-2B,63e6241a86a07638e1044c57,25,individual,19
49,rn-iii-pilot-2B,63e6241a86a07638e1044c57,27,demonstration,39
50,rn-iii-pilot-2B,63e6241a86a07638e1044c57,28,demonstration,39
51,rn-iii-pilot-2B,63e6241a86a07638e1044c57,30,written_strategy,20
52,rn-iii-pilot-2B,63e6241c86a07638e1044c58,8,try_yourself,29
53,rn-iii-pilot-2B,63e6241c86a07638e1044c58,11,try_yourself,14
54,rn-iii-pilot-2B,63e6241c86a07638e1044c58,15,try_yourself,14
55,rn-iii-pilot-2B,63e6241c86a07638e1044c58,18,try_yourself,14
56,rn-iii-pilot-2B,63e6241c86a07638e1044c58,20,individual,22
57,rn-iii-pilot-2B,63e6241c86a07638e1044c58,21,individual,17
58,rn-iii-pilot-2B,63e6241c86a07638e1044c58,22,individual,31
59,rn-iii-pilot-2B,63e6241c86a07638e1044c58,23,individual,18
60,rn-iii-pilot-2B,63e6241c86a07638e1044c58,24,individual,29
61,rn-iii-pilot-2B,63e6241c86a07638e1044c58,25,individual,27
62,rn-iii-pilot-2B,63e6241c86a07638e1044c58,27,demonstration,29
63,rn-iii-pilot-2B,63e6241c86a07638e1044c58,28,demonstration,32
64,rn-iii-pilot-2B,63e6241c86a07638e1044c58,30,written_strategy,64
65,rn-iii-pilot-2B,63e6242286a07638e1044c59,8,try_yourself,28
66,rn-iii-pilot-2B,63e6242286a07638e1044c59,11,try_yourself,20
67,rn-iii-pilot-2B,63e6242286a07638e1044c59,15,try_yourself,13
68,rn-iii-pilot-2B,63e6242286a07638e1044c59,18,try_yourself,15
69,rn-iii-pilot-2B,63e6242286a07638e1044c59,20,individual,18
70,rn-iii-pilot-2B,63e6242286a07638e1044c59,21,individual,12
71,rn-iii-pilot-2B,63e6242286a07638e1044c59,22,individual,20
72,rn-iii-pilot-2B,63e6242286a07638e1044c59,23,individual,11
73,rn-iii-pilot-2B,63e6242286a07638e1044c59,24,individual,25
74,rn-iii-pilot-2B,63e6242286a07638e1044c59,25,individual,13
75,rn-iii-pilot-2B,63e6242286a07638e1044c59,27,demonstration,28
76,rn-iii-pilot-2B,63e6242286a07638e1044c59,28,demonstration,19
77,rn-iii-pilot-2B,63e6242286a07638e1044c59,30,written_strategy,22
78,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,8,try_yourself,28
79,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,11,try_yourself,23
80,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,15,try_yourself,33
81,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,18,try_yourself,30
82,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,20,individual,25
83,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,21,individual,23
84,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,22,individual,29
85,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,23,individual,26
86,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,24,individual,30
87,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,25,individual,36
88,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,27,demonstration,29
89,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,28,demonstration,23
90,rn-iii-pilot-2B,63e6242b86a07638e1044c5a,30,written_strategy,1
91,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,8,try_yourself,40
92,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,11,try_yourself,26
93,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,15,try_yourself,23
94,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,18,try_yourself,26
95,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,20,individual,17
96,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,21,individual,15
97,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,22,individual,16
98,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,23,individual,39
99,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,24,individual,31
100,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,25,individual,18
101,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,27,demonstration,25
102,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,28,demonstration,29
103,rn-iii-pilot-2B,63e6242d86a07638e1044c5b,30,written_strategy,39
104,rn-iii-pilot-2B,63e624f286a07638e1044c5c,8,try_yourself,13
105,rn-iii-pilot-2B,63e624f286a07638e1044c5c,11,try_yourself,16
106,rn-iii-pilot-2B,63e624f286a07638e1044c5c,15,try_yourself,40
107,rn-iii-pilot-2B,63e624f286a07638e1044c5c,18,try_yourself,19
108,rn-iii-pilot-2B,63e624f286a07638e1044c5c,20,individual,31
109,rn-iii-pilot-2B,63e624f286a07638e1044c5c,21,individual,22
110,rn-iii-pilot-2B,63e624f286a07638e1044c5c,22,individual,23
111,rn-iii-pilot-2B,63e624f286a07638e1044c5c,23,individual,19
112,rn-iii-pilot-2B,63e624f286a07638e1044c5c,24,individual,20
113,rn-iii-pilot-2B,63e624f286a07638e1044c5c,25,individual,17
114,rn-iii-pilot-2B,63e624f286a07638e1044c5c,27,demonstration,23
115,rn-iii-pilot-2B,63e624f286a07638e1044c5c,28,demonstration,23
116,rn-iii-pilot-2B,63e624f286a07638e1044c5c,30,written_strategy,29
117,rn-iii-pilot-2B,63e6270b86a07638e1044c5d,8,try_yourself,28
118,rn-iii-pilot-2B,63e6270b86a07638e1044c5d,11,try_yourself,5
119,rn-iii-pilot-2B,63e6270b86a07638e1044c5d,15,try_yourself,25
120,rn-iii-pilot-2B,63e6270b86a07638e1044c5d,18,try_yourself,31
121,rn-iii-pilot-2B,63e6270b86a07638e1044c5d,20,individual,35
122,rn-iii-pilot-2B,63e6270b86a07638e1044c5d,21,individual,33
123,rn-iii-pilot-2B,63e6270b86a07638e1044c5d,22,individual,37
124,rn-iii-pilot-2B,63e6270b86a07638e1044c5d,23,individual,30
