,network_id,strategy,step,source_node,current_node,reward,total_reward
0,e04120a64ec649eb6746d9a62245ce42,myopic,1,9,1,100,100
1,e04120a64ec649eb6746d9a62245ce42,myopic,2,1,0,100,200
2,e04120a64ec649eb6746d9a62245ce42,myopic,3,0,3,-50,150
3,e04120a64ec649eb6746d9a62245ce42,myopic,4,3,2,0,150
4,e04120a64ec649eb6746d9a62245ce42,myopic,5,2,1,0,150
5,e04120a64ec649eb6746d9a62245ce42,myopic,6,1,0,100,250
6,e04120a64ec649eb6746d9a62245ce42,myopic,7,0,5,-50,200
7,e04120a64ec649eb6746d9a62245ce42,myopic,8,5,2,200,400
8,afab909b9f77314a0a0a0f8405cc5e31,myopic,1,1,2,0,0
9,afab909b9f77314a0a0a0f8405cc5e31,myopic,2,2,4,100,100
10,afab909b9f77314a0a0a0f8405cc5e31,myopic,3,4,8,100,200
11,afab909b9f77314a0a0a0f8405cc5e31,myopic,4,8,4,200,400
12,afab909b9f77314a0a0a0f8405cc5e31,myopic,5,4,8,100,500
13,afab909b9f77314a0a0a0f8405cc5e31,myopic,6,8,4,200,700
14,afab909b9f77314a0a0a0f8405cc5e31,myopic,7,4,8,100,800
15,afab909b9f77314a0a0a0f8405cc5e31,myopic,8,8,4,200,1000
16,be0a0a73fe40cff1b154ba8e05e59111,myopic,1,4,7,0,0
17,be0a0a73fe40cff1b154ba8e05e59111,myopic,2,7,5,200,200
18,be0a0a73fe40cff1b154ba8e05e59111,myopic,3,5,7,200,400
19,be0a0a73fe40cff1b154ba8e05e59111,myopic,4,7,5,200,600
20,be0a0a73fe40cff1b154ba8e05e59111,myopic,5,5,7,200,800
21,be0a0a73fe40cff1b154ba8e05e59111,myopic,6,7,5,200,1000
22,be0a0a73fe40cff1b154ba8e05e59111,myopic,7,5,7,200,1200
23,be0a0a73fe40cff1b154ba8e05e59111,myopic,8,7,5,200,1400
24,e73266ab0418ccd645853a5b7ad60688,myopic,1,5,0,100,100
25,e73266ab0418ccd645853a5b7ad60688,myopic,2,0,5,0,100
26,e73266ab0418ccd645853a5b7ad60688,myopic,3,5,0,100,200
27,e73266ab0418ccd645853a5b7ad60688,myopic,4,0,5,0,200
28,e73266ab0418ccd645853a5b7ad60688,myopic,5,5,0,100,300
29,e73266ab0418ccd645853a5b7ad60688,myopic,6,0,5,0,300
30,e73266ab0418ccd645853a5b7ad60688,myopic,7,5,0,100,400
31,e73266ab0418ccd645853a5b7ad60688,myopic,8,0,5,0,400
32,268b96a55e3092c64316ab7dcb993406,myopic,1,1,2,0,0
33,268b96a55e3092c64316ab7dcb993406,myopic,2,2,8,0,0
34,268b96a55e3092c64316ab7dcb993406,myopic,3,8,2,200,200
35,268b96a55e3092c64316ab7dcb993406,myopic,4,2,8,0,200
36,268b96a55e3092c64316ab7dcb993406,myopic,5,8,2,200,400
37,268b96a55e3092c64316ab7dcb993406,myopic,6,2,8,0,400
38,268b96a55e3092c64316ab7dcb993406,myopic,7,8,2,200,600
39,268b96a55e3092c64316ab7dcb993406,myopic,8,2,8,0,600
40,5ea5e6aef62c6857db6990a8955ebe62,myopic,1,7,0,100,100
41,5ea5e6aef62c6857db6990a8955ebe62,myopic,2,0,7,0,100
