,network_id,strategy,step,source_node,current_node,reward,total_reward
0,e04120a64ec649eb6746d9a62245ce42,random,1,9,3,-50,-50
1,e04120a64ec649eb6746d9a62245ce42,random,2,3,8,-50,-100
2,e04120a64ec649eb6746d9a62245ce42,random,3,8,7,-50,-150
3,e04120a64ec649eb6746d9a62245ce42,random,4,7,2,-50,-200
4,e04120a64ec649eb6746d9a62245ce42,random,5,2,3,-50,-250
5,e04120a64ec649eb6746d9a62245ce42,random,6,3,8,-50,-300
6,e04120a64ec649eb6746d9a62245ce42,random,7,8,7,-50,-350
7,e04120a64ec649eb6746d9a62245ce42,random,8,7,4,200,-150
8,afab909b9f77314a0a0a0f8405cc5e31,random,1,1,6,-50,-50
9,afab909b9f77314a0a0a0f8405cc5e31,random,2,6,4,200,150
10,afab909b9f77314a0a0a0f8405cc5e31,random,3,4,8,100,250
11,afab909b9f77314a0a0a0f8405cc5e31,random,4,8,4,200,450
12,afab909b9f77314a0a0a0f8405cc5e31,random,5,4,7,-50,400
13,afab909b9f77314a0a0a0f8405cc5e31,random,6,7,2,0,400
14,afab909b9f77314a0a0a0f8405cc5e31,random,7,2,4,100,500
15,afab909b9f77314a0a0a0f8405cc5e31,random,8,4,8,100,600
16,be0a0a73fe40cff1b154ba8e05e59111,random,1,4,6,-50,-50
17,be0a0a73fe40cff1b154ba8e05e59111,random,2,6,8,-50,-100
18,be0a0a73fe40cff1b154ba8e05e59111,random,3,8,5,400,300
19,be0a0a73fe40cff1b154ba8e05e59111,random,4,5,6,-50,250
20,be0a0a73fe40cff1b154ba8e05e59111,random,5,6,7,200,450
21,be0a0a73fe40cff1b154ba8e05e59111,random,6,7,5,200,650
22,be0a0a73fe40cff1b154ba8e05e59111,random,7,5,6,-50,600
23,be0a0a73fe40cff1b154ba8e05e59111,random,8,6,7,200,800
24,e73266ab0418ccd645853a5b7ad60688,random,1,5,0,100,100
25,e73266ab0418ccd645853a5b7ad60688,random,2,0,9,-50,50
26,e73266ab0418ccd645853a5b7ad60688,random,3,9,3,-50,0
27,e73266ab0418ccd645853a5b7ad60688,random,4,3,6,-50,-50
